emp_id,skill_id,proficiency_level,no_of_projects_done_in_that_skill,certifications
E747,S013,3,4,No
E1625,S006,5,2,Yes
E4373,S002,7,6,Yes
E565,S012,7,9,No
E3652,S004,9,8,No
E2085,S015,5,3,No
E2154,S012,1,1,No
E733,S002,3,3,No
E4084,S011,5,4,No
E4555,S001,2,2,Yes
E4101,S009,5,1,No
E718,S002,5,3,No
E4157,S009,6,5,Yes
E4151,S001,5,5,Yes
E2582,S007,2,1,No
E861,S008,3,3,Yes
E3980,S001,6,7,Yes
E4197,S010,8,11,Yes
E958,S008,2,2,No
E4768,S014,8,12,Yes
E3506,S006,4,2,No
E2626,S012,4,4,No
E089,S011,7,9,No
E4323,S011,7,12,No
E1718,S003,1,1,Yes
E1032,S005,10,10,Yes
E1481,S005,6,11,Yes
E787,S006,6,5,No
E2318,S012,1,3,Yes
E2493,S004,2,4,Yes
E778,S008,9,6,No
E574,S013,9,5,Yes
E387,S004,2,4,Yes
E4594,S004,1,1,No
E3541,S009,6,12,Yes
E2396,S014,8,8,No
E1501,S012,3,1,Yes
E3871,S009,5,3,Yes
E2218,S009,2,4,No
E1603,S002,3,1,Yes
E4837,S002,7,11,No
E440,S011,6,9,Yes
E2403,S008,9,8,No
E2433,S012,10,8,Yes
E3710,S012,1,4,No
E1753,S003,2,3,No
E687,S007,9,8,No
E1978,S012,8,6,Yes
E949,S012,10,9,Yes
E135,S008,1,2,Yes
E3073,S015,9,12,No
E2752,S011,10,9,Yes
E1023,S001,9,9,No
E4831,S015,3,4,No
E4819,S009,7,8,No
E4800,S014,5,4,Yes
E2173,S009,4,2,Yes
E3553,S011,7,9,Yes
E015,S004,3,4,Yes
E1250,S001,8,6,Yes
E1847,S006,8,5,No
E1527,S001,8,7,No
E171,S013,5,4,No
E2701,S007,7,9,Yes
E3249,S010,7,6,Yes
E1798,S010,6,8,Yes
E3324,S005,8,6,No
E3903,S001,1,3,No
E178,S015,9,6,Yes
E3853,S008,1,2,No
E4969,S002,5,4,No
E1307,S005,9,9,No
E3180,S008,10,7,Yes
E2084,S010,2,4,No
E4678,S004,3,3,No
E804,S007,5,1,No
E2256,S012,7,9,Yes
E3916,S002,3,3,No
E775,S007,1,1,Yes
E107,S003,1,4,No
E3080,S013,6,9,No
E2492,S004,6,10,No
E1491,S002,7,10,Yes
E1574,S012,8,6,Yes
E525,S007,4,3,Yes
E996,S014,7,6,No
E142,S015,4,3,Yes
E3069,S008,5,4,No
E2689,S006,2,2,No
E746,S015,3,2,Yes
E4300,S010,8,10,No
E4638,S011,3,4,Yes
E3449,S005,8,7,No
E4243,S004,1,1,Yes
E4331,S005,10,11,No
E3000,S014,7,11,Yes
E2241,S003,7,11,Yes
E525,S004,4,4,No
E956,S006,3,1,Yes
E3010,S012,7,9,Yes
E729,S005,5,1,No
E2934,S003,7,10,No
E475,S006,9,8,Yes
E4574,S015,3,3,No
E2274,S005,9,9,Yes
E1114,S003,6,7,Yes
E3104,S010,8,10,No
E2334,S014,7,5,Yes
E3202,S001,6,8,No
E4800,S009,6,6,No
E2811,S014,5,4,Yes
E3947,S015,1,1,No
E3408,S007,9,6,Yes
E1825,S006,3,4,Yes
E4176,S002,5,4,No
E1181,S015,6,8,Yes
E1315,S006,5,4,No
E752,S014,4,1,No
E958,S002,2,2,No
E4514,S007,10,7,Yes
E2158,S010,7,7,No
